id;responsable;titulo;descripcion;estado;fechafin
1;Tasty Fresh Soap;time-frame synthesizing;IB;APROBADA;2020-10-15T20:24:05
2;generating;solutions global;calculating grid-enabled Baby;NUEVA;2020-10-16T00:21:13
3;Intelligent Metal Pizza Developer Front-line;Delaware;Checking Account Robust azure;RECHAZADA;2020-10-16T05:26:01
4;Officer;Codes specifically reserved for testing purposes Borders;synthesize Total;APROBADA;2020-10-16T08:06:50
5;copy salmon redefine;cyan;payment withdrawal;NUEVA;2020-10-16T09:16:36
6;invoice;portals;salmon bus;APROBADA;2020-10-16T12:09:37
7;Dynamic maximized Shoes;Connecticut Granite markets;Soft Western Sahara web services;CERRADA;2020-10-16T06:00:44
8;e-enable Car;copy mission-critical Orchestrator;Tasty Metal Chips harness Books;CERRADA;2020-10-16T04:18:15
9;high-level Customer;Credit Card Account Buckinghamshire;networks Home Loan Account;ENCURSO;2020-10-15T20:24:34
10;Human Avon;Auto Loan Account metrics real-time;strategy;CERRADA;2020-10-16T05:26:17
